id,codigoEstacao,codigoAdicional,aneelPlu,aneelFlu,nome,latitude,longitude,altitude,ultimaAtualizacao,baciaCodigo,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,subBaciaCodigo,rioCodigo,estadoCodigo,municipioCodigo,responsavelCodigo,operadoraCodigo,menorDataPeriodo,maiorDataPeriodo,responsavelSigla,operadoraSigla,tipoEstacao,operando,codigoNome,selecionada,baixarChuva,baixarNivel,baixarVazao,latFormatada,lonFormatada,peridoDisponibilidade,horQChuva,horChuva,horQNivelAdotado,horNivelAdotado,horQVazao,horVazao
"{'horEstacao': 132642130, 'horDataHora': '2023-01-01T10:00:00.000+0000'}",46230100,46230100,46230100,,AÇUDE ZABUMBÃO JUSANTE,-13.44,-42.2219,,2024-02-09T15:23:04.810+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T20:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642130 - AÇUDE ZABUMBÃO JUSANTE,,False,False,False,S 13° 26' 24.00'',W 42° 13' 18.84'',28/02/2018 à 30/05/2024,,,1.0,365.0,,
"{'horEstacao': 132642130, 'horDataHora': '2023-01-01T20:00:00.000+0000'}",46230100,46230100,46230100,,AÇUDE ZABUMBÃO JUSANTE,-13.44,-42.2219,,2024-02-09T15:23:04.810+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T20:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642130 - AÇUDE ZABUMBÃO JUSANTE,,False,False,False,S 13° 26' 24.00'',W 42° 13' 18.84'',28/02/2018 à 30/05/2024,,,1.0,362.0,,
"{'horEstacao': 132642130, 'horDataHora': '2023-01-02T10:00:00.000+0000'}",46230100,46230100,46230100,,AÇUDE ZABUMBÃO JUSANTE,-13.44,-42.2219,,2024-02-09T15:23:04.810+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T20:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642130 - AÇUDE ZABUMBÃO JUSANTE,,False,False,False,S 13° 26' 24.00'',W 42° 13' 18.84'',28/02/2018 à 30/05/2024,,,0.0,359.0,,
"{'horEstacao': 132642130, 'horDataHora': '2023-01-02T20:00:00.000+0000'}",46230100,46230100,46230100,,AÇUDE ZABUMBÃO JUSANTE,-13.44,-42.2219,,2024-02-09T15:23:04.810+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T20:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642130 - AÇUDE ZABUMBÃO JUSANTE,,False,False,False,S 13° 26' 24.00'',W 42° 13' 18.84'',28/02/2018 à 30/05/2024,,,0.0,356.0,,
"{'horEstacao': 132642130, 'horDataHora': '2023-01-03T10:00:00.000+0000'}",46230100,46230100,46230100,,AÇUDE ZABUMBÃO JUSANTE,-13.44,-42.2219,,2024-02-09T15:23:04.810+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T20:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642130 - AÇUDE ZABUMBÃO JUSANTE,,False,False,False,S 13° 26' 24.00'',W 42° 13' 18.84'',28/02/2018 à 30/05/2024,,,1.0,369.0,,
"{'horEstacao': 132642130, 'horDataHora': '2023-01-03T20:00:00.000+0000'}",46230100,46230100,46230100,,AÇUDE ZABUMBÃO JUSANTE,-13.44,-42.2219,,2024-02-09T15:23:04.810+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T20:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642130 - AÇUDE ZABUMBÃO JUSANTE,,False,False,False,S 13° 26' 24.00'',W 42° 13' 18.84'',28/02/2018 à 30/05/2024,,,1.0,374.0,,
"{'horEstacao': 132642130, 'horDataHora': '2023-01-04T10:00:00.000+0000'}",46230100,46230100,46230100,,AÇUDE ZABUMBÃO JUSANTE,-13.44,-42.2219,,2024-02-09T15:23:04.810+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T20:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642130 - AÇUDE ZABUMBÃO JUSANTE,,False,False,False,S 13° 26' 24.00'',W 42° 13' 18.84'',28/02/2018 à 30/05/2024,,,0.0,409.0,,
"{'horEstacao': 132642130, 'horDataHora': '2023-01-04T20:00:00.000+0000'}",46230100,46230100,46230100,,AÇUDE ZABUMBÃO JUSANTE,-13.44,-42.2219,,2024-02-09T15:23:04.810+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T20:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642130 - AÇUDE ZABUMBÃO JUSANTE,,False,False,False,S 13° 26' 24.00'',W 42° 13' 18.84'',28/02/2018 à 30/05/2024,,,0.0,416.0,,
"{'horEstacao': 132642130, 'horDataHora': '2023-01-05T10:00:00.000+0000'}",46230100,46230100,46230100,,AÇUDE ZABUMBÃO JUSANTE,-13.44,-42.2219,,2024-02-09T15:23:04.810+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T20:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642130 - AÇUDE ZABUMBÃO JUSANTE,,False,False,False,S 13° 26' 24.00'',W 42° 13' 18.84'',28/02/2018 à 30/05/2024,,,0.0,404.0,,
"{'horEstacao': 132642130, 'horDataHora': '2023-01-05T20:00:00.000+0000'}",46230100,46230100,46230100,,AÇUDE ZABUMBÃO JUSANTE,-13.44,-42.2219,,2024-02-09T15:23:04.810+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T20:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642130 - AÇUDE ZABUMBÃO JUSANTE,,False,False,False,S 13° 26' 24.00'',W 42° 13' 18.84'',28/02/2018 à 30/05/2024,,,0.0,400.0,,
