id,codigoEstacao,codigoAdicional,aneelPlu,aneelFlu,nome,latitude,longitude,altitude,ultimaAtualizacao,baciaCodigo,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,subBaciaCodigo,rioCodigo,estadoCodigo,municipioCodigo,responsavelCodigo,operadoraCodigo,menorDataPeriodo,maiorDataPeriodo,responsavelSigla,operadoraSigla,tipoEstacao,operando,codigoNome,selecionada,baixarChuva,baixarNivel,baixarVazao,latFormatada,lonFormatada,peridoDisponibilidade,horQChuva,horChuva,horQNivelAdotado,horNivelAdotado,horQVazao,horVazao
"{'horEstacao': 73736531, 'horDataHora': '2022-08-19T10:00:00.000+0000'}",37312150,37312150,37312150,,SANTA INÊS - JUSANTE,-7.63,-38.5947,421,2024-05-03T15:15:48.763+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO PIANCÓ,PARAÍBA,CONCEIÇÃO,37,37220000,11,11044000,1,1,2022-08-19T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,CPRM,Fluviométrica,1,73736531 - SANTA INÊS - JUSANTE,,False,False,False,S 7° 37' 48.00'',W 38° 35' 40.92'',19/08/2022 à 30/05/2024,,,0.0,13.0,,
"{'horEstacao': 73736531, 'horDataHora': '2022-08-20T10:00:00.000+0000'}",37312150,37312150,37312150,,SANTA INÊS - JUSANTE,-7.63,-38.5947,421,2024-05-03T15:15:48.763+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO PIANCÓ,PARAÍBA,CONCEIÇÃO,37,37220000,11,11044000,1,1,2022-08-19T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,CPRM,Fluviométrica,1,73736531 - SANTA INÊS - JUSANTE,,False,False,False,S 7° 37' 48.00'',W 38° 35' 40.92'',19/08/2022 à 30/05/2024,,,0.0,13.0,,
"{'horEstacao': 73736531, 'horDataHora': '2022-08-21T10:00:00.000+0000'}",37312150,37312150,37312150,,SANTA INÊS - JUSANTE,-7.63,-38.5947,421,2024-05-03T15:15:48.763+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO PIANCÓ,PARAÍBA,CONCEIÇÃO,37,37220000,11,11044000,1,1,2022-08-19T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,CPRM,Fluviométrica,1,73736531 - SANTA INÊS - JUSANTE,,False,False,False,S 7° 37' 48.00'',W 38° 35' 40.92'',19/08/2022 à 30/05/2024,,,0.0,13.0,,
"{'horEstacao': 73736531, 'horDataHora': '2022-08-22T10:00:00.000+0000'}",37312150,37312150,37312150,,SANTA INÊS - JUSANTE,-7.63,-38.5947,421,2024-05-03T15:15:48.763+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO PIANCÓ,PARAÍBA,CONCEIÇÃO,37,37220000,11,11044000,1,1,2022-08-19T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,CPRM,Fluviométrica,1,73736531 - SANTA INÊS - JUSANTE,,False,False,False,S 7° 37' 48.00'',W 38° 35' 40.92'',19/08/2022 à 30/05/2024,,,0.0,13.0,,
"{'horEstacao': 73736531, 'horDataHora': '2022-08-23T10:00:00.000+0000'}",37312150,37312150,37312150,,SANTA INÊS - JUSANTE,-7.63,-38.5947,421,2024-05-03T15:15:48.763+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO PIANCÓ,PARAÍBA,CONCEIÇÃO,37,37220000,11,11044000,1,1,2022-08-19T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,CPRM,Fluviométrica,1,73736531 - SANTA INÊS - JUSANTE,,False,False,False,S 7° 37' 48.00'',W 38° 35' 40.92'',19/08/2022 à 30/05/2024,,,0.0,13.0,,
"{'horEstacao': 73736531, 'horDataHora': '2022-08-24T10:00:00.000+0000'}",37312150,37312150,37312150,,SANTA INÊS - JUSANTE,-7.63,-38.5947,421,2024-05-03T15:15:48.763+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO PIANCÓ,PARAÍBA,CONCEIÇÃO,37,37220000,11,11044000,1,1,2022-08-19T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,CPRM,Fluviométrica,1,73736531 - SANTA INÊS - JUSANTE,,False,False,False,S 7° 37' 48.00'',W 38° 35' 40.92'',19/08/2022 à 30/05/2024,,,0.0,13.0,,
"{'horEstacao': 73736531, 'horDataHora': '2022-08-25T10:00:00.000+0000'}",37312150,37312150,37312150,,SANTA INÊS - JUSANTE,-7.63,-38.5947,421,2024-05-03T15:15:48.763+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO PIANCÓ,PARAÍBA,CONCEIÇÃO,37,37220000,11,11044000,1,1,2022-08-19T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,CPRM,Fluviométrica,1,73736531 - SANTA INÊS - JUSANTE,,False,False,False,S 7° 37' 48.00'',W 38° 35' 40.92'',19/08/2022 à 30/05/2024,,,0.0,13.0,,
"{'horEstacao': 73736531, 'horDataHora': '2022-08-26T10:00:00.000+0000'}",37312150,37312150,37312150,,SANTA INÊS - JUSANTE,-7.63,-38.5947,421,2024-05-03T15:15:48.763+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO PIANCÓ,PARAÍBA,CONCEIÇÃO,37,37220000,11,11044000,1,1,2022-08-19T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,CPRM,Fluviométrica,1,73736531 - SANTA INÊS - JUSANTE,,False,False,False,S 7° 37' 48.00'',W 38° 35' 40.92'',19/08/2022 à 30/05/2024,,,0.0,13.0,,
"{'horEstacao': 73736531, 'horDataHora': '2022-08-27T10:00:00.000+0000'}",37312150,37312150,37312150,,SANTA INÊS - JUSANTE,-7.63,-38.5947,421,2024-05-03T15:15:48.763+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO PIANCÓ,PARAÍBA,CONCEIÇÃO,37,37220000,11,11044000,1,1,2022-08-19T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,CPRM,Fluviométrica,1,73736531 - SANTA INÊS - JUSANTE,,False,False,False,S 7° 37' 48.00'',W 38° 35' 40.92'',19/08/2022 à 30/05/2024,,,0.0,13.0,,
"{'horEstacao': 73736531, 'horDataHora': '2022-08-28T10:00:00.000+0000'}",37312150,37312150,37312150,,SANTA INÊS - JUSANTE,-7.63,-38.5947,421,2024-05-03T15:15:48.763+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO PIANCÓ,PARAÍBA,CONCEIÇÃO,37,37220000,11,11044000,1,1,2022-08-19T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,CPRM,Fluviométrica,1,73736531 - SANTA INÊS - JUSANTE,,False,False,False,S 7° 37' 48.00'',W 38° 35' 40.92'',19/08/2022 à 30/05/2024,,,0.0,13.0,,
