id,codigoEstacao,codigoAdicional,aneelPlu,aneelFlu,nome,latitude,longitude,altitude,ultimaAtualizacao,baciaCodigo,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,subBaciaCodigo,rioCodigo,estadoCodigo,municipioCodigo,responsavelCodigo,operadoraCodigo,menorDataPeriodo,maiorDataPeriodo,responsavelSigla,operadoraSigla,tipoEstacao,operando,codigoNome,selecionada,baixarChuva,baixarNivel,baixarVazao,latFormatada,lonFormatada,peridoDisponibilidade,horQChuva,horChuva,horQNivelAdotado,horNivelAdotado,horQVazao,horVazao
"{'horEstacao': 111539050, 'horDataHora': '2023-01-18T10:00:00.000+0000'}",50497000,50497000,50497000,,AÇUDE ARACI,-11.2525,-39.0983,,2024-04-29T18:05:22.130+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000,16,16021000,58,58,2020-12-30T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,DNOCS,DNOCS,Fluviométrica,1,111539050 - AÇUDE ARACI,,False,False,False,S 11° 15' 9.00'',W 39° 5' 53.88'',30/12/2020 à 30/05/2024,,,0.0,654.0,,
"{'horEstacao': 111539050, 'horDataHora': '2023-01-18T20:00:00.000+0000'}",50497000,50497000,50497000,,AÇUDE ARACI,-11.2525,-39.0983,,2024-04-29T18:05:22.130+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000,16,16021000,58,58,2020-12-30T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,DNOCS,DNOCS,Fluviométrica,1,111539050 - AÇUDE ARACI,,False,False,False,S 11° 15' 9.00'',W 39° 5' 53.88'',30/12/2020 à 30/05/2024,,,0.0,654.0,,
"{'horEstacao': 111539050, 'horDataHora': '2023-01-19T10:00:00.000+0000'}",50497000,50497000,50497000,,AÇUDE ARACI,-11.2525,-39.0983,,2024-04-29T18:05:22.130+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000,16,16021000,58,58,2020-12-30T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,DNOCS,DNOCS,Fluviométrica,1,111539050 - AÇUDE ARACI,,False,False,False,S 11° 15' 9.00'',W 39° 5' 53.88'',30/12/2020 à 30/05/2024,,,0.0,654.0,,
"{'horEstacao': 111539050, 'horDataHora': '2023-01-19T20:00:00.000+0000'}",50497000,50497000,50497000,,AÇUDE ARACI,-11.2525,-39.0983,,2024-04-29T18:05:22.130+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000,16,16021000,58,58,2020-12-30T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,DNOCS,DNOCS,Fluviométrica,1,111539050 - AÇUDE ARACI,,False,False,False,S 11° 15' 9.00'',W 39° 5' 53.88'',30/12/2020 à 30/05/2024,,,0.0,654.0,,
"{'horEstacao': 111539050, 'horDataHora': '2023-01-20T10:00:00.000+0000'}",50497000,50497000,50497000,,AÇUDE ARACI,-11.2525,-39.0983,,2024-04-29T18:05:22.130+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000,16,16021000,58,58,2020-12-30T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,DNOCS,DNOCS,Fluviométrica,1,111539050 - AÇUDE ARACI,,False,False,False,S 11° 15' 9.00'',W 39° 5' 53.88'',30/12/2020 à 30/05/2024,,,0.0,653.0,,
"{'horEstacao': 111539050, 'horDataHora': '2023-01-20T20:00:00.000+0000'}",50497000,50497000,50497000,,AÇUDE ARACI,-11.2525,-39.0983,,2024-04-29T18:05:22.130+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000,16,16021000,58,58,2020-12-30T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,DNOCS,DNOCS,Fluviométrica,1,111539050 - AÇUDE ARACI,,False,False,False,S 11° 15' 9.00'',W 39° 5' 53.88'',30/12/2020 à 30/05/2024,,,0.0,653.0,,
"{'horEstacao': 111539050, 'horDataHora': '2023-01-21T10:00:00.000+0000'}",50497000,50497000,50497000,,AÇUDE ARACI,-11.2525,-39.0983,,2024-04-29T18:05:22.130+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000,16,16021000,58,58,2020-12-30T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,DNOCS,DNOCS,Fluviométrica,1,111539050 - AÇUDE ARACI,,False,False,False,S 11° 15' 9.00'',W 39° 5' 53.88'',30/12/2020 à 30/05/2024,,,0.0,652.0,,
"{'horEstacao': 111539050, 'horDataHora': '2023-01-21T20:00:00.000+0000'}",50497000,50497000,50497000,,AÇUDE ARACI,-11.2525,-39.0983,,2024-04-29T18:05:22.130+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000,16,16021000,58,58,2020-12-30T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,DNOCS,DNOCS,Fluviométrica,1,111539050 - AÇUDE ARACI,,False,False,False,S 11° 15' 9.00'',W 39° 5' 53.88'',30/12/2020 à 30/05/2024,,,0.0,652.0,,
"{'horEstacao': 111539050, 'horDataHora': '2023-01-23T10:00:00.000+0000'}",50497000,50497000,50497000,,AÇUDE ARACI,-11.2525,-39.0983,,2024-04-29T18:05:22.130+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000,16,16021000,58,58,2020-12-30T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,DNOCS,DNOCS,Fluviométrica,1,111539050 - AÇUDE ARACI,,False,False,False,S 11° 15' 9.00'',W 39° 5' 53.88'',30/12/2020 à 30/05/2024,,,0.0,651.0,,
"{'horEstacao': 111539050, 'horDataHora': '2023-01-23T20:00:00.000+0000'}",50497000,50497000,50497000,,AÇUDE ARACI,-11.2525,-39.0983,,2024-04-29T18:05:22.130+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000,16,16021000,58,58,2020-12-30T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,DNOCS,DNOCS,Fluviométrica,1,111539050 - AÇUDE ARACI,,False,False,False,S 11° 15' 9.00'',W 39° 5' 53.88'',30/12/2020 à 30/05/2024,,,0.0,651.0,,
"{'horEstacao': 111539050, 'horDataHora': '2023-01-24T10:00:00.000+0000'}",50497000,50497000,50497000,,AÇUDE ARACI,-11.2525,-39.0983,,2024-04-29T18:05:22.130+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000,16,16021000,58,58,2020-12-30T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,DNOCS,DNOCS,Fluviométrica,1,111539050 - AÇUDE ARACI,,False,False,False,S 11° 15' 9.00'',W 39° 5' 53.88'',30/12/2020 à 30/05/2024,,,0.0,650.0,,
"{'horEstacao': 111539050, 'horDataHora': '2023-01-24T20:00:00.000+0000'}",50497000,50497000,50497000,,AÇUDE ARACI,-11.2525,-39.0983,,2024-04-29T18:05:22.130+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000,16,16021000,58,58,2020-12-30T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,DNOCS,DNOCS,Fluviométrica,1,111539050 - AÇUDE ARACI,,False,False,False,S 11° 15' 9.00'',W 39° 5' 53.88'',30/12/2020 à 30/05/2024,,,0.0,650.0,,
"{'horEstacao': 111539050, 'horDataHora': '2023-01-25T10:00:00.000+0000'}",50497000,50497000,50497000,,AÇUDE ARACI,-11.2525,-39.0983,,2024-04-29T18:05:22.130+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000,16,16021000,58,58,2020-12-30T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,DNOCS,DNOCS,Fluviométrica,1,111539050 - AÇUDE ARACI,,False,False,False,S 11° 15' 9.00'',W 39° 5' 53.88'',30/12/2020 à 30/05/2024,,,0.0,650.0,,
